title,skills,salary,company,description,link
Junior Python Developer,"SQL,Git,Python,Знання принципів ООП,Робота в команді,Здатність до навчання,Адаптивність,Blockchain",30000–35000 UAH,Soft Performance,"Вакансия: Junior Python Developer О компании: Мы — динамично развивающееся blockchain агентство, специализирующееся на работе с криптопроектами. В связи с расширением нашей молодой и перспективной команды, мы ищем талантливого Junior Python разработчика. Обязанности:  Разработка и поддержка приложений на Python.  Участие в проектировании и разработке новых функциональностей.  Работа с базами данных и интеграция с различными API.  Оптимизация и улучшение существующего кода.  Участие в командных проектах и совместная работа над задачами.  Требования:  Базовые знания Python и опыт работы с ним.  Понимание основных принципов ООП.  Знание SQL и опыт работы с базами данных.  Умение работать с системами контроля версий (например, Git).  Способность быстро обучаться и адаптироваться к новым задачам.  Умение работать в команде и готовность к взаимодействию с коллегами.  Будет плюсом:  Знание английского языка на уровне, достаточном для чтения технической документации.  Условия работы:  Полная занятость с 11:00 до 19:30, с понедельника по субботу.  Работа в офисе, который оборудован генератором для бесперебойной работы.  Заработная плата от 30 000 грн + процент с продаж.  Выплаты заработной платы каждые две недели.  Дружелюбная и поддерживающая атмосфера в коллективе.  Что мы предлагаем:  Интересные и разнообразные проекты в сфере blockchain и криптовалют.  Работа в молодой и энергичной команде профессионалов.  Возможность профессионального и карьерного роста.  Дружелюбная атмосфера и поддержка коллег.  Если вы хотите стать частью нашей команды и развиваться вместе с нами, присылайте свои резюме и портфолио на этот контакт: https://t.me/cryptohr_web3 Будем рады видеть вас в нашей команде!",https://www.work.ua/en/jobs/5751785/
"Junior, Middle Python Developer","MySQL,Git,Python,PostgreSQL,Django,Django Rest Framework,Робота в команді,Програмування,Знання принципів ООП",,Інсайдери,"About the vacavncy:   We are a young and rapidly growing company with more than 100 dedicated and highly skilled developers of various levels. As this opportunity requires working from our office, it is open exclusively to Lviv residents. To apply for this position, you will need to prepare for a technical interview to demonstrate your capabilities, skills, and knowledge.  What we expect from the candidate:    Experience in development using the Python programming language is required.  Knowledge of frameworks such as Django and DRF is necessary.  Understanding of the fundamental principles of object-oriented programming is essential.  Proficiency in working with databases such as MySQL and PostgreSQL is important.  Experience with version control systems like Git is mandatory.  The candidate must demonstrate seriousness and the ability to collaborate effectively both in a team and independently.  What we offer:    Convenient work schedule.  Company-provided equipment.  Friendly office atmosphere designed for comfortable work.  Official employment with a competitive salary, taking into account your skills and experience.  Support from an experienced team of developers and managers.  Exciting projects for you to participate in.  Feel free to contact us now; this could be the beginning of our collaboration! We will respond promptly upon receiving your resume.",https://www.work.ua/en/jobs/5607803/
Python-програміст,"Python,Програмування,Бажання вчитися і розвиватися",20000–30000 UAH,"Глушакова Т. Б., ФОП","Вакансія: Python-програміст Компанія «Глушакова Т. Б., ФОП» шукає Python-програміста з досвідом роботи від 1 року для роботи над проектами зі створення інтернет-магазинів. Робота віддалена, що дає можливість працювати з будь-якої точки світу. Вимоги:  Досвід роботи з Python від 1 року;  Знання базових принципів розробки веб-додатків;  Розуміння роботи з базами даних;  Бажання вчитися і розвиватися в сфері програмування.  Ми готові розглянути кандидатів без освіти, але з відповідним досвідом і навичками.  Якщо ви пасіоновані до програмування, маєте досвід роботи з Python і бажаєте приєднатися до нашої команди, надсилайте своє резюме! Додаткова інформація про вакансію та умови праці надаються під час співбесіди.",https://www.work.ua/en/jobs/5753979/
"Викладач у дитячу ІТ-школу програмування (Роблокс, Python)","Python,Програмування,Креативність",4000–8000 UAH,"Logika, мiжнародна школа програмування для дiтей","Контакти: Тел.  +380938659605 Show phone  (Діана) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності. У програму курсу Logika включені частини курсів з фізики, математики, хімії, астрономії, що допомагає дітям зрозуміти, навіщо шкільні предмети потрібні в реальному житті. Logika активно розвивається і в зв’язку із розширеннями відбувається пошук викладачів! Ми пропонуємо:  Робота у вихідні та будні.  Заробітна плата: 300 грн / 1.5 години викладання.  Постійне навчання за рахунок компанії від наших професіоналів.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?:  Потрібні круті викладачі, які ладнають із комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання у Python, Роблокс (Або ж досвід із іншими мовами програмування та бажання вивчати нове)  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Якщо Ви маєте досвід у роботі з дітками — це кльово, а якщо немає, то навчимо!  Що потрібно буде робити:  проводити заняття із використанням уже готових методичних матеріалів школи Logika;  створювати та підтримувати дружню робочу атмосферу;  отримувати кайф від роботи із майбутнім нашої країни;  Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — ходім до Логіки! Не втрачай можливість — хутчіш залишай відгук, або ж телефонуй:  +380938659605 Show phone  (Діана)",https://www.work.ua/en/jobs/4609734/
Python developer,"Користувач ОС Linux,Git,JavaScript,Python,Відповідальність,Django,Програмування,Flask,AWS,Бажання вчитися і розвиватися",,Quintagroup,"Quintagroup is a company of  Python/JS/AWS  experts that provides consulting, programming, and support services to organizations interested in deploying cloud-based solutions. We are looking for talented  Python Developers. RESPONSIBILITIES:  development with Python  participation in planning and execution stages  researching and using technologies to implement effective solutions  development of products for customers from the US, Germany, Switzerland   development of serverless apps, e-commerce solutions, marketplaces  REQUIREMENTS:  strong knowledge of Python  strong knowledge of GIT   experience with Linux   desire to develop and learn  English B2  Would be a plus:  experience with AWS, Django, Flask  WE OFFER:  a company with a specialization in Python development for the last 20 years  different domains of projects: FinTech, EdTech, GovTech, IoT, e-commerce, e-auctions, e-learning, public procurement, development of complex AWS based solutions  friendly atmosphere and good working conditions   regular team-buildings and corporate parties  English classes   flexible working hours  experience with new technologies  If you are interested please send us your CV to [ apply ] We will be glad to welcome you to our team=)",https://www.work.ua/en/jobs/1665750/
"Full Stack Web Developer (Python, Angular 2+)","CSS,JavaScript,HTML,MySQL,SQL,Git,Jira,Python,PostgreSQL,SASS,JSON,jQuery,Знання принципів ООП,Знання принципів MVC,Відповідальність,Django,REST API,ECMAScript,Angular,Дизайн,Flask,ORM,NoSQL,Знання шаблонів проєктування",50000–100000 UAH,Lead Capital Group,"Вітаєм! Наша компанія зараз в пошуку Full stack (Python/ Angluar) у Франківську, зп вилка до 2.5$ k NET  IT department of South African marketing company which based in Ivano — Frankivsk looking for a Full Stack web developer to join our team!  What skills do you need to have:  1 + year experience    JavaScript (jQuery, ES5/6)  Good knowledge of Python (django or flask)   very good to know Angular2+  knowledge (HTML / CSS / SASS)   understanding of JSON XML  good knowledge of OOP, MVC, ORM, design patterns;  Understanding RESTful services API  Understanding of SQL (MySQL / Postgresql) and NoSQL   Code writing clean and clear  Compliance with deadlines of the project  Knowledge of and ability to use Git, JIRA  we looking for reliable and responsible person  We offer:   salary in US $ without any delays, paid vacation, bonus system, salary review each 6 month   Very interesting long time projects  https://ezauto.co.za/  work day to day with English Native Speakers  Great and very spacious office in a heart of the city   Super cool and comfortable working place, fully equipped  fruits, snacks, etc.  parking   Job in unique professional, International company which have offices in Israel, Canada, Hong-Kong and main office in Cape Town, friendly atmosphere where you can grow and develop yourself  We can also assist with relocation to Ivano- Frankivsk for the developer from another city",https://www.work.ua/en/jobs/2714157/
Junior Python Developer,"GitHub,Python,Комунікабельність,Відповідальність,Робота в команді,Unit-тестування,REST API,Програмування,Уважність,Backend-розробка,Надійність,Розробка API,Blockchain",14000–20000 UAH,Infobezpeka,"About Us:  We are a dynamic and innovative company developing a cutting-edge cryptocurrency trading application. Our mission is to provide a seamless and secure trading experience for our users. We are looking for a passionate and driven Junior Python Developer to join our team and contribute to the backend development of our app. Job Description:  As a Junior Python Developer, you will be responsible for developing and maintaining the backend of our cryptocurrency trading application. You will work closely with our lead developer and mentor to build robust APIs for trading via various crypto exchanges. Your role will also involve creating unit and integration tests to ensure the reliability and performance of our platform. Responsibilities:  Develop and maintain backend services for the cryptocurrency trading application.  Design and implement APIs for trading via crypto exchanges.  Collaborate with the lead developer and mentor to understand requirements and deliver high-quality code.  Write unit and integration tests to ensure the reliability of the application.  Utilize Firestore and Firebase Functions for data management and serverless computing.  Use GitHub for version control and collaboration.  Requirements:  Proficiency in Python programming language.  Basic understanding of RESTful API design and development.  Familiarity with version control systems, particularly GitHub.  Willingness to learn and adapt quickly to new technologies and methodologies.  Strong problem-solving skills and attention to detail.  Good communication skills and ability to work in a team environment.  Preferred Qualifications:  Experience with Firestore and Firebase Functions.  Knowledge of cryptocurrency trading and blockchain technology.  Previous experience in developing backend services for trading applications.  Understanding of unit testing and integration testing principles.  What We Offer:  Opportunity to work in a fast-paced and innovative environment.  Mentorship and guidance from experienced developers.  Flexible working hours and remote work options.  Continuous learning and professional development opportunities.",https://www.work.ua/en/jobs/5728732/
"Викладач інформатики, робототехніки (Minecraft, Python)","Відповідальність,Організованість,Здатність до навчання,Програмування,Робота з дітьми,Python,Ініціативність",20000–25000 UAH,"Богатирьов О.Г., ФОП","Stem -школа Inventor, лідер інноваційної позашкільної освіти, запрошує в свою дружну команду викладача для школярів (8−15 років). Наш ідеальний викладач:  студент, аспірант, педагог ;  мінімально розуміє принципи програмування;  бажає вчитись новому, вміє швидко приймати рішення;  має навики роботи з дітьми;  відповідальний та організований.  Ваші майбутні задачі: ⤿якісна підготовка до занять; ⤿проведення занять згідно вже наявної методики; ⤿надання батькам зворотного зв’язку про навчання учнів; ⤿підтримання порядку в кабінетах та наборах; Від нас: ⤿ зручний графік роботи: будні 16:00—20:00, субота-неділя 10:00—18:00, літом є можливість проводити табори з 10:00−15:00  ⤿навчання, тренінги за рахунок школи; ⤿відмінні умови праці; ⤿можливості кар'єрного росту (наприклад, тренер команди на міжнародні змагання); ⤿середовище однодумців, закоханих в свою справу; ⤿можливість брати участь у додаткових проєктах компанії; ⤿гідна та своєчасна оплату праці + бонусна система преміювання. Заняття проводяться за такими напрямками:  Механіка та робототехніка.  Spike та програмування Phyton .  Програмування Minecraft.  Developer. Web- програмування.  Якщо Ви — молоді, ініціативні, відкриті новому, любите дітей і вмієте цікаво навчати — надсилайте своє резюме",https://www.work.ua/en/jobs/5732312/
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python)","CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Scratch,Викладання,Бажання вчитися і розвиватися",10000 UAH,"Logika, мiжнародна школа програмування для дiтей","ДЕ МИ ШУКАЄМО КАНДИДАТІВ :  м.Вишгород   Ш кола Logika  активно розвивається і в зв’язку із розширенням штату фахівців, відбувається пошук викладачів у нашу школу! В нашій школі присутні курси:  Комп’ютерна грамотність, Scratch, Геймдизайн, Python, Front-end та Графічний дизайн.  ПРО ШКОЛУ:  Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають своє логічне та критичне мислення і вміння думати та аналізувати інформацію, в проєктній роботі проявляти креативність та творчі здібності. Ми пропонуємо:  Зайнятість від 3−6+ груп  від 400 грн. за одне заняття (в залежності від кількості дітей у групі)   Гнучкий графік, можливість обрати для себе робочі години.  Графік занять узгоджується.  Вчасна виплата заробітної плати.  Постійне навчання за рахунок компанії від наших професіоналів.  Круте ком’юніті однодумців та комплексну базу знань для співробітників!  Мотивацію для викладачів!  Обов`язки:  Проводити офлайн заняття на локації в одному із міст, де розташована школа із використанням вже готових методичних та практичних матеріалів школи Logika;  Створювати та підтримувати дружню робочу атмосферу на заняттях;  Слідкувати за результатами учнів;  Вчасно заповнювати форми та адміністративну звітність;  Проводити відкриті уроки для батьків, та давати зворотній зв’язок про навчання дітей;  Хто нам потрібен?:  Потрібні  енергійні  та  вмотивовані  викладачі, які ладнають із комп’ютером на «ти» та мають  активний підхід  до своєї роботи.  Високо розвинені  комунікативні  навички , досвід публічних виступів  Любов до дітей  та  бажання  навчати та навчатись разом із ними!  Знання різних мов програмування  Python,Scratch, Lua, HTML,CSS, JavaScript  та величезне  бажання вивчати  нове).  Великою перевагою буде  вища освіта в області ІТ ,  педагогіки/психології.  Кандидати  з досвідом роботи з дітьми  в пріоритеті.  Якщо у Вас ще немає досвіду, але є хист і бажання, школа пропонує навчання і підтримку. Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — чекаємо на Вас в Logika! Не втрачайте можливість — хутчіш залишайте відгук, або ж телефонуте/пишіть: ЗАПИС НА СПІВБЕСІДУ : Viber:  +380990314611 Show phone — Андрій Telegram:  https://t.me/DAndy19976 (@DAndy19976)",https://www.work.ua/en/jobs/5732860/
"Викладач Scratch, Python у всеукраїнську IT-школу","Python,Scratch,Робота з дітьми",4000–9000 UAH,"Logika, мiжнародна школа програмування для дiтей","Хто така Logika: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проєктній роботі проявляють креативність та творчі здібності. У програму курсу Logika включені частини курсів з фізики, математики, хімії, астрономії, що допомагає дітям зрозуміти, навіщо шкільні предмети потрібні в реальному житті. Logika активно розвивається у Чернігівській області та в зв’язку із розширеннями відбувається пошук викладачів! Ми пропонуємо:  Робота у вихідні та будні.  Заробітна плата: 400 грн / 1.5 години викладання.  Постійне навчання за рахунок компанії від наших професіоналів (тьюторів, методистів).  Зручне місцерозташування школи.  Круте ком’юніті однодумців!  Хто нам потрібен?:  Потрібні енергійні та вмотивовані викладачі, які ладнають із комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання у Scratch, Python.  Вітається знання HTML, CSS та JavaScript.  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Кандидати з досвідом роботи з дітьми в пріоритеті.  Якщо в тебе ще немає досвіду, але є хист і бажання, школа пропонує навчання та підтримку!  Обов`язки:  проводити заняття із використанням уже готових методичних матеріалів школи Logika;  створювати та підтримувати дружню робочу атмосферу;  слідкувати за результатами учнів  давати звіти за шаблонами (таблицями, формами зворотнього звʼязку)  дотримуватися посадових обовʼязків викладача  отримувати задоволення від роботи із майбутнім нашої країни;  Якщо саме ВИ бажаєте власноруч змінювати освіту на краще — ходім до Logika! Не втрачай можливість — хутчіш залишай відгук! А також ПИШІТЬ У ТЕЛЕГРАМ @redlight312.",https://www.work.ua/en/jobs/5733816/
"Full stack Python DRF, VueJS developer","Django,Vue.js,Python,PostgreSQL,JavaScript,OpenAI,Django Rest Framework",30000–80000 UAH,Sedna.software,Requirements :   Being able to communicate in English. Being able to work 8 hours on a daily basis during office times.   Online interview required.  Work conditions :  Remote Responsibilities :  Working together in an online team. You will work on a newly started django & vuejs project related to NDT (Non-Destructive Testing) outsourcing.,https://www.work.ua/en/jobs/5735108/
Senior Python developer,Python,228000 UAH,"ІТ-Паросток, благодійний фонд","Requirements :   6+ Years of Experience in Software Engineering  Proven experience in Python/Go  Proficient in Google Cloud Platform (GCP) services and tools or other cloud platforms (AWS, Azure)  Experience with Postgres database management or other relational databases  Experience with event-driven architecture (Pub/Sub, SQS)  Knowledge of data pipelines and their management  Expertise in monitoring and alerting practices (Kibana, etc.)  Ability to navigate and analyze platform/service logs using Humio or similar systems   Why should you join us? Innovation: We are always at the forefront of technological innovations, especially in the field of AI platforms. When you join us, you will work with the latest technologies and tools. Professional Development: We provide all our employees with opportunities for learning and development. You will get access to the best courses, trainings and workshops in the industry. Team spirit: We pride ourselves on our friendly and supportive atmosphere. Here you will find colleagues who will become your friends and mentors. Flexible work schedule: We understand the importance of work-life balance, which is why we offer flexible hours and telecommuting options. Responsibilities:   Collaborate with related engineers for complex issues or those beyond the scope of existing documentation   Data Infrastructure pipeline upgrade and support  Monitor communication channels, ensuring every issue is directed to the appropriate team within organization for resolution   Utilize established runbooks to address and resolve on-call issues promptly and safely   Contribute to the development and enhancement of the knowledge base to optimize first-line triage efficiency   Schema registry management  DLQ pushes  Document effective solutions and procedures discovered through on-call experiences to refine the runbook   Send, please, your updated CV in English with Telegram link!)",https://www.work.ua/en/jobs/5738669/
Intern Python Developer,"Python,Робота в команді,Уважність,Бажання вчитися і розвиватися",17000 UAH,Техно-джентельмени,"Ми шукаємо молодих, амбітних людей, які бажають почати свою кар'єру в IT як Intern Python Developer. Попередній досвід роботи не потрібен — головне, щоб ви мали велике бажання вчитися та розвиватися.  Віддаленого формату немає — тільки Київ Основні обов’язки :  Вивчення та освоєння Python під керівництвом досвідчених наставників  Виконання простих завдань у розробці програмного забезпечення  Участь у командних проектах та зустрічах  Написання та тестування коду  Допомога у вирішенні технічних питань  Вимоги :  Базові знання Python  Бажання навчатися та працювати в команді  Вміння слідувати інструкціям та уважність до деталей  Володіння англійською мовою на рівні читання технічної документації  Унікальна можливість навчання В нашій компанії навчання — це більше, ніж просто адаптація новачка. Ми пропонуємо унікальну програму навчання, яку ви не знайдете ніде більше на ринку. Наш підхід до навчання побудований на тісній співпраці з досвідченими наставниками, які проведуть вас через всі етапи освоєння Python та розробки програмного забезпечення. Як проходить навчання:  Індивідуальний підхід : Ви отримаєте персонального наставника, який буде допомагати вам на кожному етапі вашого навчання. Наставник ділитиметься своїм досвідом, дасть поради та відповість на всі ваші запитання.  Практичні завдання : Навчання базується на реальних завданнях та проектах, які дозволяють закріпити теоретичні знання на практиці. Ви будете працювати над справжніми проектами компанії, отримуючи цінний досвід.  Командна робота : Ви станете частиною нашої команди з першого дня. Участь у командних проектах допоможе вам зрозуміти, як працювати у великій IT компанії, навчить вас ефективній комунікації та співпраці.  Регулярний зворотний зв’язок : Ми забезпечуємо постійний зворотний зв’язок щодо вашого прогресу. Ви будете знати, в яких аспектах вам потрібно зосередити свої зусилля для досягнення найкращих результатів.  Що вас чекає після навчання:  Кар'єрні перспективи : Після успішного завершення стажування ви маєте всі шанси стати постійним членом нашої команди. Ми цінуємо таланти, які виросли разом з нами.  Професійний розвиток : Ви отримаєте можливість продовжувати своє навчання та розвиватися у вибраному напрямку. Наша компанія підтримує професійний розвиток своїх працівників.  Стабільна робота : Ви станете частиною успішної компанії з великою кількістю цікавих проектів та стабільним майбутнім.  Унікальний досвід : Завдяки нашій програмі навчання ви отримаєте досвід, який стане міцною основою для вашої кар'єри в IT. Такий досвід і знання відкриють для вас безліч дверей у майбутньому.  Приєднуйтесь до нашої команди та скористайтеся цією унікальною можливістю, яку ви не знайдете ніде більше!",https://www.work.ua/en/jobs/5715805/
"Python developer (Trainee, Junior)","MySQL,Git,Python,PostgreSQL,Django,Django Rest Framework,Програмування,Знання принципів ООП",,Appexoft,"About company: Appexoft is Software Development Company that provides a full range of top-quality IT services. Our mission is to develop first-class applications and Websites to provide our clients with the best solutions for maximizing their profits and converting their ideas into reality. Requirements:  Development experience in the Python programming language;  Knowledge of frameworks such as Django, DRF  Understanding of the basic principles of object-oriented programming;  Database skills such as MySQL, PostgreSQL  Experience with version control systems such as Git;  Ability to work in a team;  We offer:  Interesting and challenging projects.  Vast opportunities for professional development.  Competitive salary.  Delicious coffee biscuits and tea for your good mood.  Friendly team of professionals.  Comfortable working environment.",https://www.work.ua/en/jobs/5302747/
Python developer,"JavaScript,PHP,MySQL,Python,C++,PostgreSQL,MongoDB,SQLite,Програмування,reverse engineering,async,frida,fiddler",30000–60000 UAH,"Савонік Н.А., ФОП","Вакансія: Python developer Компанія «Савонік Н.А., ФОП» шукає талановитого Python розробника для приєднання до нашої команди. Ми спеціалізуємося на трейдингу предметами в Steam і постійно розвиваємо наші інноваційні рішення для автоматизації процесів трейдингу. Мови програмування: Python; C/C++; Javascript; Delphi; Assembler (x86, arm); PHP. Бази даних: Sqlite; MySQL; PostgreSQL; MongoDB. Стороннє пз: Fiddler, mitmproxy; BurpSuit; Frida; IDA Pro, Ghidra. Потрібен досвід в реверсивній інженерії, аналізі шифрування і алгоритмів захисту, також бажано мати досвід в розробці та підтримці високопродуктивних багатопотокових систем Обов’язки:  Розробка та підтримка програмного забезпечення для автоматизації процесів трейдингу  Взаємодія з іншими членами команди для досягнення поставлених цілей  Тестування та вдосконалення програмного забезпечення  Підтримка і вдосконалення існуючих проектів  Ми пропонуємо конкурентну зарплату, можливість розвитку та професійного зростання в динамічній та дружній команді. Якщо ви готові приєднатися до нас і внести свій внесок у розвиток наших проектів, надсилайте резюме за вказаною адресою.",https://www.work.ua/en/jobs/5743270/
Intern Python developer,"Git,Python,Комунікабельність,Програмування,Знання принципів ООП,PyQt,Tkinter",,HYS Enterprise,"Requirements:  Proficiency in Python3 programming language;  Understanding of basic software development concepts such as data structures, algorithms, and object-oriented programming;  Familiarity with version control systems, preferably Git;  Passionate about AI;  Good communication skills;  Upper-Intermediate English level;  Based in Ukraine (with the option for occasional office visits).  Candidates who do not meet the stated requirements might not be considered. Would be a plus:  Experience in creating native applications (tkinter, PyQt, etc.);  Experience with embedding models;   Experience with libraries such as crewAI, langchain, langgraph;  Understanding of how transformers work;  Experience working with Hugging Face, gsheet API.  About the project: Our tool helps non-technical specialists create AI agents in CrewAI for business tasks using the Google Sheets interface, bypassing direct coding work in CrewAI.  We offer:  Internship schedule: Monday to Friday, 10.00−19.00  Office-based / remote work;  No time trackers or other bureaucratic measures;  Practical experience on internal projects;   Networking with experienced professionals willing to share their knowledge and experience;   Opportunity to obtain a contract with HYS Enterprise as a Junior specialist.  Gifts for birthdays and professional holidays;  Interaction with experienced professionals willing to share their knowledge;  Participation in internal and external events, the opportunity to build or promote your own brand.  It is important! To submit your application for the internship, please follow the link below and fill out the form:  Intern Python Developer",https://www.work.ua/en/jobs/5644457/
"Python Backend Developer (Ninja, Startup from Germany)","Linux OS user,Jira,Python,PostgreSQL,Communicability,Django,Unit testing,UNIX,nginx,BASH,REST,REST API,AWS,Initiative,ORM,Backend development,Next.js",90000–125000 UAH,CheckForPet,"INTRO: To strengthen our 300-team (This is SPARTA / Code is King, but YOU are the master), we are looking for a Middle/Senior Python Backend Developer Ninja (m/f/d) to start on 1.9.2024. Remote.  With our innovative business model and over 1,000,000 user-generated reviews (UGC) received so far, we are taking the next step by integrating direct sales through a custom-developed checkout and preparing our AI Recommendation Engine for Pet Food. We aim to ensure that every pet gets the right food. Therefore, we are looking for an experienced Python Backend Developer who can take the initiative, knows what they are doing, and can help us scale our backend operations to the next level.  Our goal: Become the #1 pet food recommendation engine in the world. As a Python Backend Developer, you will work with a functional product, already tested and well-running processes, and a modern infrastructure that you can independently develop and optimize.  Your Tasks:  Develop and optimize backend systems using Python and the Django framework   Integrate APIs and third-party services  Further develop and maintain the existing infrastructure  Ensure scalability and performance of web applications  Collaborate with frontend developers and other departments to implement new features  Monitor and improve security and data integrity   Conduct code reviews and ensure quality assurance   Report directly to our CTO and work closely with him and QA  Your Profile:  At least two years of experience in backend development with Python and Django  Experience with relational databases (e.g., PostgreSQL)  Knowledge in working with RESTful APIs and microservices  Experience with DevOps practices and cloud services (e.g., AWS)  Proficient in using version control systems (e.g., Bitbucket)  Familiarity with project management and communication tools like Slack and Jira  Excellent analytical skills, structured work approach, and communication skills  Very good English & Russian skills (additional languages are a plus, German?)   Technical Skills:  Python:  mutable/immutable data types, decorators, singleton, mutable objects as default values for functions/methods, iterators/generators, context managers, resolving import loops, GIL, PEP8, docstrings, unit/functional testing, mocking  Django:  context processors, signals, ORM, optimizing page performance (db, ORM, caching)  REST  Nginx  Bash/Sh, grep, find  UNIX/Linux  Relational DBMS  MUST have I:  You  must have  experience as a Python Developer and count yourself as Middle/Senior level. No bullshit, please. Apply only if you really have what it takes. The assessment center is hard, and we do not want to waste each other’s time. MUST have II:  Please understand that our team has roots in the Soviet Union. We all speak Russian, are against war, and communicate in this language. If this is a problem for you, you should not read further. We keep politics out. Our policy is that of the 300. Sparta! We Offer:  Innovative business model focused on fair and transparent advice for pet owners  Ambitious and growing team -> Became Nr. 1   International environment, fixed workplace in Hamburg, Germany (Headquarter)  Coworking spaces in Kiev, Kharkiv, Ivano-Frankivsk, and Poland   Permanent employment contract, freedom for your own ideas  Opportunities for personal development and career advancement  Family-friendly working conditions  Interested? Please write to us, including your resume, references, and tell us something about yourself in English. Once we have reviewed the applications,  please give us until mid-August at the latest.  Do not follow up. We have received everything, and you will receive feedback by the end of August. Interviews and 1-to-1 meetings will follow, which can be conducted in Russian. We start on 1.9.24. We look forward to you. This is Sparta, and we are the 300.",https://www.work.ua/en/jobs/5746409/
"Backend-developer (Python, PHP)","JavaScript,PHP,SQL,Python,Відповідальність,Організованість,Docker,Selenium,Програмування,Креативність,Symfony,RabbitMQ,NoSQL,Backend-розробка",,"Zviger, LLC","Привіт, майбутній колего! Ми — американська компанія з українським корінням «Zviger LLC», яка надає якісний сервіс підбору авто з США з 2017 року. Організуємо та візьмемо під контроль весь процес — від покупки автомобіля на аукціоні — до вивантаження в пункті призначення. Наш сайт:  https://zvigerauto.com/   У зв’язку з розширенням штату шукаємо Backend-developer. Ключові задачі:  Розробка та підтримка продуктів компанії;  Проведення код — рев’ю;  Оцінка трудомісткості завдань;  Взаємодія з іншими командами: розробниками back-end; розробниками front-end; тестувальниками; аналітиками.  Для нас важливо (наші вимоги):  Мінімум 3 роки досвіду розробки програмного забезпечення  Досвід об'єктно-орієнтованого програмування  Досвід роботи з базами даних (SQL, NoSQL)  Впевнене знання та досвід розробки на Python3  Знання та досвід розробки на PHP (Symfony), JavaScript  Досвід роботи з чергами повідомлень (RabbitMQ)  Досвід роботи з Selenium  Досвід роботи з інтеграціями API, вміння бачити приховані можливості в даних  Досвід роботи з Docker  Базовий досвід адміністрування *nix систем.  Самоорганізованість, відповідальність, креативність, виконавчість.  Ми пропонуємо (наші умови):  Дистанційна форма роботи;  Робота у крутій молодій команді;  Графік роботи: 5 — денний робочий тиждень;  Відпустка: 20 календарних днів;  5 short term sick leave (day off)  Персональна відпустка 3 дні по кожному із випадків: одруження, народження дитини, смерть близької людини;  Бенефіти на придбання авто з США;  Видаємо Eco Flow, щоб була можливість працювати в блекаути;  Компенсація зовнішнього навчання та корпоративне навчання;  Тімбілдинги;  Ми можемо ще багато розповідати, але пропонуємо продовжити вже особисто. Що скажеш?",https://www.work.ua/en/jobs/5714244/
